State,Year1998,Year2002,Year2003,Year2005,Year2007,Year2009,Year2011,Year2013,Year2015,Year2017,Year2019
Alabama,-1.4,-1.3,-1.5,-1.4,-1,-1.1,-1.5,-1.2,-1.1,-1,-1.4
Alaska,,,-1.1,-0.9,-1,-0.9,-0.9,-0.8,-1.1,-0.8,-1.1
Arizona,-1.1,-1.3,-1.4,-1,-1.2,-1.2,-1.2,-1.1,-1.2,-0.9,-1.2
Arkansas,-1.3,-1.1,-1.3,-1.1,-1,-1.2,-0.9,-1.1,-1.2,-0.8,-1.1
California,-1.6,-1.8,-1.3,-0.6,-0.8,-1.2,-1,-1.2,-1.2,-1.2,-1.4
Colorado,-1,,-1.2,-1.1,-1,-0.8,-1.4,-1.1,-1.4,-1.3,-0.9
Connecticut,-1,-1.2,-1.1,-1.3,-1.6,-0.9,-0.9,-1,-1.1,-0.9,-1.2
Delaware,-1.3,-0.5,-0.7,-0.6,-0.6,-0.7,-0.6,-0.7,-0.8,-0.8,-0.8
District of Columbia,-2.1,-0.9,-0.8,-0.9,-0.7,-0.9,-0.9,-0.9,-1,-1,-0.9
Florida,-1.4,-1.6,-1.3,-1.2,-1.2,-1.2,-1,-1.1,-1,-1.1,-1.1
Georgia,-1.4,-1,-1.1,-1.3,-1,-1,-1.1,-1.2,-1.3,-1.1,-1
Hawaii,-1,-0.9,-0.9,-0.9,-0.8,-0.6,-0.7,-0.8,-0.9,-0.8,-1
Idaho,,-1.1,-0.9,-1.1,-0.9,-0.9,-0.7,-0.8,-0.9,-0.9,-0.9
Illinois,,,-1,-1,-1,-1.2,-0.8,-1,-1,-1.1,-1
Indiana,,-1.3,-1,-1.1,-1.1,-1,-1,-1.2,-1.1,-1,-1.3
Iowa,,,-0.8,-0.9,-0.9,-0.9,-1,-0.8,-1,-1.1,-1.1
Kansas,-1.4,-1.3,-1.5,-1,-0.8,-1.1,-1,-1,-1.2,-1,-0.9
Kentucky,-1.4,-1,-1.3,-1.1,-1,-0.9,-0.8,-0.8,-1,-0.8,-1
Louisiana,-1.4,-1.5,-1.6,-1.6,-1.1,-1.6,-1.5,-1,-1.2,-1.5,-1.4
Maine,-1.2,-0.9,-1,-1,-0.8,-0.7,-0.8,-0.8,-0.9,-0.9,-0.9
Maryland,-1.8,-1.7,-1.4,-1.2,-1.2,-1.1,-1.2,-1.1,-1.1,-1,-1
Massachusetts,-1.4,-1.3,-1,-1,-1,-1.2,-1,-1,-1.1,-1.1,-1
Michigan,,-1.6,-1.8,-1.2,-1.2,-1.4,-0.9,-1,-1.2,-1.1,-1.2
Minnesota,-1.4,,-1.1,-1.2,-0.9,-1,-1,-1,-1.1,-1,-1.1
Mississippi,-1.2,-0.9,-1.4,-1.3,-1.1,-1,-1.2,-1,-1,-0.7,-1
Missouri,-1.3,-1,-1,-1,-1,-1,-1.1,-1.1,-1.1,-1.2,-1.2
Montana,-1.3,-1,-1,-0.7,-0.8,-0.6,-0.6,-0.8,-0.8,-0.8,-0.8
Nebraska,,-0.9,-0.9,-0.9,-0.9,-0.9,-0.7,-0.8,-0.9,-0.7,-0.9
Nevada,-1,-0.8,-0.8,-0.9,-0.8,-0.9,-0.9,-0.7,-0.9,-0.8,-0.9
New Hampshire,,,-0.9,-1.2,-0.9,-1,-0.7,-0.8,-0.9,-0.9,-1
New Jersey,,,-1.2,-1.2,-1.1,-1.3,-1.2,-1.1,-1,-1.1,-1.2
New Mexico,-1.2,-1,-0.9,-1,-0.8,-1.2,-0.9,-0.8,-0.9,-0.9,-1
New York,-1.5,-1.5,-1.3,-1,-1.1,-1.2,-1.1,-1.1,-1.4,-1,-1.2
North Carolina,-1.1,-1.1,-1,-0.9,-1.1,-1.2,-0.9,-1.1,-1.3,-1.2,-1.1
North Dakota,,-0.8,-0.8,-0.6,-0.7,-0.6,-0.7,-0.6,-0.6,-0.8,-0.9
Ohio,,-1.6,-1.3,-1.3,-1.2,-1.3,-1.1,-1,-1.5,-1.9,-1.2
Oklahoma,-1.2,-0.8,-0.9,-1.1,-0.8,-0.9,-1.1,-0.9,-1.3,-1,-0.9
Oregon,-1.5,-1.3,-1.2,-1.1,-0.9,-1,-0.9,-0.9,-1.3,-1.2,-1.1
Pennsylvania,,-1,-1.2,-1.3,-1.2,-0.8,-1.3,-1,-1.5,-1.1,-1.1
Rhode Island,-0.9,-0.8,-0.7,-0.7,-0.9,-0.6,-0.7,-0.6,-0.7,-0.8,-0.9
South Carolina,-1.1,-1.1,-1.3,-1.1,-0.9,-1.2,-0.9,-1,-1.2,-1,-0.9
South Dakota,,,-0.8,-0.6,-0.7,-0.5,-0.8,-0.8,-1,-0.7,-0.9
Tennessee,-1.2,-1.4,-1.2,-0.9,-1,-1.1,-1,-1.1,-1.4,-1.1,-1.1
Texas,-1.4,-1.4,-1.1,-0.6,-0.9,-1.1,-1,-1.1,-1,-1.2,-1.2
Utah,-1,-1.1,-0.8,-0.8,-1,-0.8,-0.8,-0.9,-1,-0.9,-1.2
Vermont,,-0.9,-0.8,-0.7,-0.8,-0.6,-0.9,-0.7,-0.8,-0.8,-0.8
Virginia,-1.1,-1,-1.1,-1,-1.1,-1.1,-1.2,-1.3,-1.2,-1.3,-1.3
Washington,-1.2,-1.2,-0.9,-1.3,-0.9,-1.1,-1,-1,-1.2,-1.4,-1.3
West Virginia,-1,-1,-1,-1.2,-1,-0.9,-0.9,-0.9,-0.9,-0.9,-1
Wisconsin,-1.8,,-1.3,-1.1,-1,-1,-0.9,-0.9,-1.1,-1,-0.9
Wyoming,-1.3,-0.7,-0.5,-0.7,-0.7,-1,-1,-0.6,-0.7,-0.7,-0.8


